f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,label
1.0927094,1.091343,1.0958686,1.098452,1.0947168,1.075999,1.015761,0.961913,0.9157159,0.87286097,-0.04285492,-0.04452603,-0.047633365,0.0,0
1.091343,1.0958686,1.098452,1.0947168,1.075999,1.015761,0.961913,0.9157159,0.87286097,0.85028523,-0.022575699,-0.03271531,-0.03720925,0.0,0
1.0958686,1.098452,1.0947168,1.075999,1.015761,0.961913,0.9157159,0.87286097,0.85028523,0.84075177,-0.009533483,-0.01605459,-0.024988035,0.0,0
1.098452,1.0947168,1.075999,1.015761,0.961913,0.9157159,0.87286097,0.85028523,0.84075177,0.8353376,-0.0054141576,-0.00747382,-0.0125077795,0.0,0
1.0947168,1.075999,1.015761,0.961913,0.9157159,0.87286097,0.85028523,0.84075177,0.8353376,0.78129023,-0.05404738,-0.029730769,-0.02299834,1.0,1
1.075999,1.015761,0.961913,0.9157159,0.87286097,0.85028523,0.84075177,0.8353376,0.78129023,0.7787633,-0.0025269506,-0.028287165,-0.02066283,1.0,2
1.015761,0.961913,0.9157159,0.87286097,0.85028523,0.84075177,0.8353376,0.78129023,0.7787633,0.7708969,-0.007866338,-0.0051966445,-0.021480223,1.0,2
0.961913,0.9157159,0.87286097,0.85028523,0.84075177,0.8353376,0.78129023,0.7787633,0.7708969,0.76314914,-0.0077478075,-0.0078070727,-0.006047032,1.0,2
0.9157159,0.87286097,0.85028523,0.84075177,0.8353376,0.78129023,0.7787633,0.7708969,0.76314914,0.7552404,-0.007908754,-0.00782828,-0.007840967,1.0,2
0.87286097,0.85028523,0.84075177,0.8353376,0.78129023,0.7787633,0.7708969,0.76314914,0.7552404,0.75715476,0.0019144103,-0.0029971716,-0.004580717,1.0,2
0.85028523,0.84075177,0.8353376,0.78129023,0.7787633,0.7708969,0.76314914,0.7552404,0.75715476,0.7483653,-0.008789506,-0.003437548,-0.00492795,1.0,2
0.84075177,0.8353376,0.78129023,0.7787633,0.7708969,0.76314914,0.7552404,0.75715476,0.7483653,0.7507584,0.0023931218,-0.0031981922,-0.0014939914,1.0,2
0.8353376,0.78129023,0.7787633,0.7708969,0.76314914,0.7552404,0.75715476,0.7483653,0.7507584,0.73384476,-0.016913641,-0.0072602592,-0.0077700084,1.0,2
0.78129023,0.7787633,0.7708969,0.76314914,0.7552404,0.75715476,0.7483653,0.7507584,0.73384476,0.7442027,0.010357926,-0.0032778573,-0.0013875309,1.0,2
0.7787633,0.7708969,0.76314914,0.7552404,0.75715476,0.7483653,0.7507584,0.73384476,0.7442027,0.74474394,0.00054125814,0.005449592,-0.0020048188,1.0,2
0.7708969,0.76314914,0.7552404,0.75715476,0.7483653,0.7507584,0.73384476,0.7442027,0.74474394,0.7769049,0.032160908,0.016351083,0.014353365,1.0,3
0.76314914,0.7552404,0.75715476,0.7483653,0.7507584,0.73384476,0.7442027,0.74474394,0.7769049,0.88195425,0.10504938,0.06860514,0.045917183,0.0,0
0.7552404,0.75715476,0.7483653,0.7507584,0.73384476,0.7442027,0.74474394,0.7769049,0.88195425,0.97912097,0.09716673,0.10110806,0.07812567,0.0,0
0.75715476,0.7483653,0.7507584,0.73384476,0.7442027,0.74474394,0.7769049,0.88195425,0.97912097,1.0833726,0.10425165,0.10070919,0.102155924,0.0,0
0.7483653,0.7507584,0.73384476,0.7442027,0.74474394,0.7769049,0.88195425,0.97912097,1.0833726,1.1596652,0.07629262,0.090272136,0.092570335,0.0,0
0.7507584,0.73384476,0.7442027,0.74474394,0.7769049,0.88195425,0.97912097,1.0833726,1.1596652,1.1686599,0.008994662,0.04264364,0.06317964,0.0,0
0.73384476,0.7442027,0.74474394,0.7769049,0.88195425,0.97912097,1.0833726,1.1596652,1.1686599,1.1687248,6.485336e-05,0.004529758,0.02845071,0.0,0
0.7442027,0.74474394,0.7769049,0.88195425,0.97912097,1.0833726,1.1596652,1.1686599,1.1687248,1.1883174,0.019592619,0.009828736,0.009550712,0.0,0
0.74474394,0.7769049,0.88195425,0.97912097,1.0833726,1.1596652,1.1686599,1.1687248,1.1883174,1.1916847,0.0033673702,0.011479995,0.007674948,0.0,0
0.7769049,0.88195425,0.97912097,1.0833726,1.1596652,1.1686599,1.1687248,1.1883174,1.1916847,1.1939621,0.0022773994,0.002822385,0.008412463,0.0,0
0.88195425,0.97912097,1.0833726,1.1596652,1.1686599,1.1687248,1.1883174,1.1916847,1.1939621,1.1958494,0.001887315,0.0020823572,0.0025106948,0.0,0
0.97912097,1.0833726,1.1596652,1.1686599,1.1687248,1.1883174,1.1916847,1.1939621,1.1958494,1.2190564,0.023206877,0.012547095,0.009123864,0.0,0
1.0833726,1.1596652,1.1686599,1.1687248,1.1883174,1.1916847,1.1939621,1.1958494,1.2190564,1.2123168,-0.0067395773,0.00823365,0.0061182044,0.0,0
1.1596652,1.1686599,1.1687248,1.1883174,1.1916847,1.1939621,1.1958494,1.2190564,1.2123168,1.2084496,-0.0038672134,-0.0053033954,0.0042000283,0.0,0
1.1686599,1.1687248,1.1883174,1.1916847,1.1939621,1.1958494,1.2190564,1.2123168,1.2084496,1.1958754,-0.012574086,-0.008220649,-0.0077269585,0.0,0
1.1687248,1.1883174,1.1916847,1.1939621,1.1958494,1.2190564,1.2123168,1.2084496,1.1958754,1.11409,-0.08178545,-0.047179766,-0.032742247,0.0,0
1.1883174,1.1916847,1.1939621,1.1958494,1.2190564,1.2123168,1.2084496,1.1958754,1.11409,1.0146071,-0.099482976,-0.09063421,-0.06461417,0.0,0
1.1916847,1.1939621,1.1958494,1.2190564,1.2123168,1.2084496,1.1958754,1.11409,1.0146071,0.91998667,-0.09462035,-0.09705166,-0.091962926,0.0,0
1.1939621,1.1958494,1.2190564,1.2123168,1.2084496,1.1958754,1.11409,1.0146071,0.91998667,0.8768727,-0.043113954,-0.068867154,-0.07907242,0.0,0
1.1958494,1.2190564,1.2123168,1.2084496,1.1958754,1.11409,1.0146071,0.91998667,0.8768727,0.8705335,-0.0063391854,-0.02472657,-0.048024498,0.0,0
1.2190564,1.2123168,1.2084496,1.1958754,1.11409,1.0146071,0.91998667,0.8768727,0.8705335,0.8734071,0.0028735832,-0.001732801,-0.015526518,0.0,0
1.2123168,1.2084496,1.1958754,1.11409,1.0146071,0.91998667,0.8768727,0.8705335,0.8734071,0.8290208,-0.044386335,-0.020756375,-0.015950644,0.0,0
1.2084496,1.1958754,1.11409,1.0146071,0.91998667,0.8768727,0.8705335,0.8734071,0.8290208,0.79891336,-0.03010742,-0.037246875,-0.02387339,0.0,0
1.1958754,1.11409,1.0146071,0.91998667,0.8768727,0.8705335,0.8734071,0.8290208,0.79891336,0.7830371,-0.015876278,-0.02299185,-0.030123344,1.0,2
